"1353-5773","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture Nutrition (Print)","A2",2008
"1355-557X","CIÊNCIAS BIOLÓGICAS I                             ","Aquaculture Research (Print)","B1",2008
"0304-3770","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Botany","B1",2008
"1052-7613","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Conservation (Print)","A2",2008
"1573-5125","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Ecology (Dordrecht. Online)","B5",2008
"1386-2588","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Ecology (Print)","B1",2008
"1463-4988","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Ecosystem Health & Management","B3",2008
"1380-6165","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Geochemistry","A2",2008
"0165-0424","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Insects (Print)","B3",2008
"1818-5487","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Invasions","B5",2008
"0990-7440","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Living Resources","B1",2008
"0167-5427","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Mammals","B5",2008
"0948-3055","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Microbial Ecology","A1",2008
"0166-445X","CIÊNCIAS BIOLÓGICAS I                             ","Aquatic Toxicology","A1",2008
"0103-5657","CIÊNCIAS BIOLÓGICAS I                             ","Ararajuba (Rio de Janeiro)","B5",2008
"1517-3011","CIÊNCIAS BIOLÓGICAS I                             ","ARBS. Annual Review of Biomedical Sciences (Impresso)","B5",2008
"1075-2196","CIÊNCIAS BIOLÓGICAS I                             ","Archaeological Prospection (Print)","A2",2008
"0365-6233","CIÊNCIAS BIOLÓGICAS I                             ","Archiv der Pharmazie (Weinheim)","B2",2008
"0342-1120","CIÊNCIAS BIOLÓGICAS I                             ","Archiv fur Hydrobiologie. Supplementband, Algological Studies (Cessou em 2007. Cont. ISSN 1864-1318 Algological Studies (2007))","B5",2008
